artist,title,downloads,link,scrape_time
Jeremih,Late Nights With Jeremih,447329,/Jeremih-Late-Nights-With-Jeremih-mixtape.379278.html,16-09-18
Nipsey Hussle,Mailbox Money,445566,/Nipsey-Hussle-Mailbox-Money-mixtape.675450.html,16-09-18
Tory Lanez,The New Toronto,442163,/Tory-Lanez-The-New-Toronto-mixtape.755403.html,16-09-18
Trey Songz,To Whom It May Concern,441554,/Trey-Songz-To-Whom-It-May-Concern-mixtape.749949.html,16-09-18
Ace Hood,Body Bag Vol 2,440729,/Ace-Hood-Body-Bag-Vol-2-mixtape.377399.html,16-09-18
Kevin Gates,In The Meantime,437461,/Kevin-Gates-In-The-Meantime-mixtape.402868.html,16-09-18
Post Malone,August 26th,436468,/Post-Malone-August-26th-mixtape.783234.html,16-09-18
Ty Dolla Sign (Ty$),Sign Language ,433149,/Ty-Dolla-Sign-Ty-Sign-Language-mixtape.639974.html,16-09-18
Chief Keef,Bang Pt. 2,430872,/Chief-Keef-Bang-Pt-2-mixtape.438612.html,16-09-18
Travi$ Scott,Days Before Rodeo,424903,/Travi-Scott-Days-Before-Rodeo-mixtape.640174.html,16-09-18
Kirko Bangz,Procrastination Kills 4,423344,/Kirko-Bangz-Procrastination-Kills-4-mixtape.383970.html,16-09-18
Childish Gambino,STN MTN/ Kauai Mixtape,418615,/Childish-Gambino-STN-MTN-Kauai-Mixtape.642620.html,16-09-18
Yo Gotti,The Return,417017,/Yo-Gotti-The-Return-mixtape.734319.html,16-09-18
Migos,Y.R.N. 2 (Young Rich Niggas 2),416717,/Migos-YRN-2-Young-Rich-Niggas-2-mixtape.760168.html,16-09-18
Young Jeezy,Gangsta Party,414266,/Young-Jeezy-Gangsta-Party-mixtape.711116.html,16-09-18
Rich Homie Quan ,Still Goin In (Reloaded),414237,/Rich-Homie-Quan-Still-Goin-In-Reloaded-mixtape.461556.html,16-09-18
Lil Herb,Welcome To Fazoland,411578,/Lil-Herb-Welcome-To-Fazoland-mixtape.580474.html,16-09-18
King Los,Zero Gravity 2,411503,/King-Los-Zero-Gravity-2-mixtape.592172.html,16-09-18
Dom Kennedy,Yellow Album ,407924,/Dom-Kennedy-Yellow-Album-mixtape.365059.html,16-09-18
Yo Gotti,CM8,404520,/Yo-Gotti-CM8-mixtape.749582.html,16-09-18
Future,Streetz Calling,402002,/Future-Streetz-Calling-mixtape.262956.html,16-09-18
Yo Gotti,CM6: Gangsta Of The Year,399182,/Yo-Gotti-CM6-Gangsta-Of-The-Year-mixtape.244807.html,16-09-18
Yo Gotti,January 10th (mixtape),396342,/Yo-Gotti-January-10th-Mixtape.299073.html,16-09-18
Tory Lanez,Chixtape 4,394801,/Tory-Lanez-Chixtape-4-mixtape.821083.html,16-09-18
Lil Durk,300 Days 300 Nights,393818,/Lil-Durk-300-Days-300-Nights-mixtape.741374.html,16-09-18
Lloyd Banks,V6: The Gift,392722,/Lloyd-Banks-V6-The-Gift-mixtape.348701.html,16-09-18
YG Feat. DJ Mustard,4 Hunnid Degreez ,390322,/YG-feat-DJ-Mustard-4-Hunnid-Degreez-mixtape.317249.html,16-09-18
Migos,Rich Nigga Timeline,389490,/Migos-Rich-Nigga-Timeline-mixtape.661196.html,16-09-18
Curren$y,The Drive In Theatre,389012,/Curreny-The-Drive-In-Theatre-mixtape.578652.html,16-09-18
Lil Bibby,Free Crack 2,388164,/Lil-Bibby-Free-Crack-2-mixtape.615403.html,16-09-18
Curren$y,Priest Andretti,387044,/Curreny-Priest-Andretti-mixtape.410830.html,16-09-18
