artist,title,downloads
Stalley,Savage Journey To The American Dream,170116
Big Sean,Finally Famous ,170026
Trey Songz,Intermission ,170004
Various Artists,Hip Hop TXL Vol 44,169939
Chris Brown,X Files EP,169618
Waka Flocka,From Roaches To Rollies,169150
Curren$y & Young Roddy,Bales,168944
Various Artists,Hip Hop TXL Vol 43,168195
Twista,Reloaded,168157
Wiz Khalifa,The Layover,168047
Lil Boosie,Streetz Iz Mine (re-uploaded),168009
Trey Songz,#LemmeHolDatBeat2,167593
Various Artists,Hip Hop TXL Vol 40,167416
Lil Herb,Pistol P Project,167305
"Jeezy, Doughboyz Cashout & YG",Boss Yo Life Up Gang,167138
Chinx Drugz,Cocaine Riot 4,167027
D-Pryde,Flagship,166370
Lil Wayne,Da Drought 2,166285
Puff Daddy,MMM,166098
Chiddy Bang,Peanut Butter & Swelly,165853
Various Artists,Hip Hop TXL Vol 34,164454
Curren$y & Alchemist,Carrollton Heist,164212
Young Jeezy,#ItsThaWorld2,163459
"Trademark Da Skydiver, Young Roddy & Curren$y",Jet Life To The Next Life,163359
Chinx Drugz,Cocaine Riot 3,163252
CyHi The Prynce,Ivy League: Kick Back,163018
Fredo Santana,It's A Scary Site,162886
Lil Wayne,The Suffix,162788
Lil Wayne,I Am Not A Human Being 2 (Mixtape),162367
Lloyd Banks,All Or Nothin: Live It Up,162302
Gucci Mane,Ferrari Music,162048
Dizzy Wright,Soul Searchin (the Next Level),162044
Yo Gotti,Cocaine Muzik 2,161844
SwizZz & Hopsin,Funk Volume Mixtape: Haywire,161655
Migos & Rich The Kid,Streets On Lock 2,160689
Curren$y & Smoke DZA,The Stage EP,160474
Joe Budden,Mood Muzik 4: A Turn for the Worst,160039
Curren$y,More Saturday Night Car Tunes,159964
Huey Mack & Mike Stud,Click,159478
Curren$y,The Owners Manual,159334
Lil Durk,They Forgot,159244
Don Trip & Starlito,Stepbrothers,159187
Young Money,YMCMB,158648
Young Scooter,Street Lottery 2,158e3
Cam'ron,Ghetto Heaven Vol 1,157719
Various Artists,Hip Hop TXL Vol 16,157191
Shy Glizzy,Young Jefe,156964
Fat Trel,Gleesh,156850
Young Dro,Day Two,156739
Gucci Mane,Trapology,156389
Chevy Woods,The Cookout ,156132
Kodak Black ,Project Baby,155117
Gucci Mane & Young Dolph,EastAtlantaMemphis,155005
Meek Mill,Meekend Music 2,154915
Juicy J,Lit In Ceylon,153776
Rocko,Gift Of Gab 2,153708
Lil Wayne,In Tune We Trust ,153541
Soulja Boy,Juice II,153454
K. Camp,K.I.S.S 3,152849
Various Artists,Hip Hop TXL Vol 8,152737
Various Artists,Hip Hop TXL Vol 33,152704
Slim Thug,North Side Boss,152695
Various Artists,Hip Hop TXL Vol 45,152359
Montana Of 300,Cursed With A Blessing,152149
Kendrick Lamar,The Poems Of Kendrick,151376
50 Cent,War Angel LP,150453
Plies,Da Last Real Nigga Left,150231
PeeWee Longway,The Blue M&M Vol 2 (King Size),149769
Jeremih,Late Nights: Europe,149759
Harry Fraud,Adrift,149542
Trae Tha Truth,Tha Diary Of Tha Truth,149177
D-Pryde,Mars,148979
Various Artists,Hip Hop TXL Vol 41,148518
Juicy J & Project Pat,Cut Throat,148227
Shy Glizzy,For Trappers Only,148109
Cardi B,Gangsta Bitch Music Vol 1,147601
Various Artists,Hip Hop TXL Vol 37,147532
Wale & 9th Wonder,Back To The Feature,147501
Lil Wayne,Haemoglobin (My Flag Red),147182
Various Artists,Whiteowl Drop That Pt 214,146685
Rick Ross,Renzel Remixes (Disc 1),146038
Jay-Z,Creative Control,145975
Various Artists,Hip Hop TXL Vol 35,145697
Various Artists,Hip Hop TXL Vol 36,145579
Omarion,Care Package 2,145469
Lil Reese,Supa Savage,144955
Fredo Santana,Fredo Kruger,144783
Rockie Fresh,Driving 88,144682
Childish Gambino,The Great Gambino,144308
Wiz Khalifa,28 Grams (No DJ),144217
Chinx,CR5,144002
Red Cafe,Hells Kitchen,143929
Jaden Smith,The Cool Cafe,143714
King Louie,Drilluminati 2,143571
Ab-Soul,Long Term,143515
Various Artists,Hip Hop TXL Vol 38,142852
Nipsey Hussle,Bullets Ain't Got No Name Vol 2,142809
Meek Mill,Meekend Music,142760
Various Artists,Hip Hop TXL Vol 31,142464
Chief Keef,Bang Mixtape,142422
Gudda Gudda,Guddaville,142146
Various Artists,Hip Hop TXL Vol 42,142008
Los,The Crown Aint Safe,142002
Juicy J,shutdafukup,141797
Ace Hood,Body Bag 4,141716
French Montana,NY On Top: Year Of The Underdog,141636
Tink,Winter's Diary 2,141532
Wale X A-Trak,Festivus,140878
Raekwon,Unexpected Victory,140816
Young Dolph,Bosses & Shooters,140620
Lil Wayne,Da Drought,140197
Wale,Mixtape About Nothing,138901
Plies,Aristotle,138718
Various Artists,Hip Hop TXL Vol 18,138685
Funkmaster Flex,Who You Mad At? Me Or Yourself?,138654
Lloyd Banks,Halloween Havoc 2,138416
50 Cent,Forever King,138215
Nipsey Hussle,The Marathon Continues: X-Tra Laps,138173
Game,Purp & Patron (2 Disc),137521
Berner,Urban Farmer,137454
Lil Durk,Love Songs For The Streets,137176
Chris Webby,The Underclassmen,136758
Ace Hood,Body Bag 3,136518
Ty Dolla Sign (Ty$),Beach House,136383
Lil Wayne,The Carter 3 Mixtape,136262
Mac Miller,You (EP),136228
Chief Keef,Two Zero One Seven,135914
Chip,London Boy,135683
Snoop Dogg,That's My Work 2,135436
Chris Webby,Teenage Mutant Ninja Rapper,134632
Curren$y,Stoned On Ocean,134568
Akon,Konkrete Jungle,134086
2 Chainz,Chain Gang,133724
Chinx Drugz,Cocaine Riot 2,133709
K. Camp,You Welcome,133470
Young Dolph,High Class Street Music 4 (american Gangster),133458
Instrumentals,Got Instrumentals Lex Luger Edition,133362
Casey Veggies,Customized Greatly 3,133003
Various Artists,Hip Hop TXL Vol 39,132965
Ace Hood,Trust The Process (Deluxe Edition),132918
Gucci Mane,Trap House 4 ,132597
Various Artists,Hip Hop TXL Vol 30,132468
Kendrick Lamar,Cartoon & Cereal (EP),132287
Don Q,Corner Stories,132276
Los,Worth The Wait,132209
Kanye West,Eyes Closed,132175
Gudda Gudda,Guddaville 3,131395
Don Trip,Help Is On The Way,131381
Juicy J,Rubba Band Business,131083
T-Pain,The Iron Way,130971
Waka Flocka,Benjamin Flocka,130849
21 Savage,Slaughter King,130709
A$AP Rocky,Deep Purple,130544
Ace Hood,The Statement,130230
Juicy J,Gas Face,130162
Various Artists,Hip Hop TXL Vol 47,129695
Big K.R.I.T.,12 For 12,129405
Miguel,Art Dealer Chic Vol.1 EP,129248
Various Artists,Hip Hop TXL Vol 49,129109
Masspike Miles,Skky Miles,128917
Various Artists,Hip Hop TXL Vol 52,128885
Roscoe Dash,2.0,128797
Remy Ma,I'm Around,128594
Gucci Mane & Migos,The Green Album,128198
Talib Kweli & Z-Trip,Attack The Block,128157
NBA Youngboy,Mind Of A Menace 3,127879
Various Artists,Hip Hop TXL Vol 51,127867
Blac Youngsta,F*ck Everybody,127634
Various Artists,Hip Hop TXL Vol 22,127590
Various Artists,Hip Hop TXL Vol 13,127534
August Alsina,The Product,127143
Royce Da 5'9,Trust The Shooter,127115
MMG,Priorities 4,126833
Lil Herb & Lil Bibby,The Best Of Lil Herb & Lil Bibby: Heir Apparents,126775
Cory Gunz,Son Of A Gun,126736
Drake,O.V.O,126356
Memphis Bleek,The Movement,126129
Fetty Wap X PNB Rock,"Money, Hoes & Flows",126115
Busta Rhymes & Q-Tip,The Abstract And The Dragon,125794
Plies,Aint No Mixtape Bih 2,125421
Various Artists,Hip Hop TXL Vol 58,124959
Cam'ron,The Program,124930
Gucci Mane,Trap House 5 (the Final Chapter),124725
Curren$y & Young Roddy,3 Piece Set: A Closed Session,123780
Lil Wayne,New Orleans Nightmare 3,123567
Gucci Mane,King Gucci,123566
Domo Genesis,Under The Influence,123296
Migos & Rich The Kid,Streets On Lock 4,123274
Mike Will Made It,Ransom,122969
Paul Wall,No Sleep Til Houston,122732
Nas,The Nigger Tape,122527
JAY PARK ,Fresh A!r:breathe !t,122286
Vince Staples & Larry Fisherman,Stolen Youth LP,122266
Yo Gotti,Cocaine Muzik,122227
"Lil B ""The BasedGod""",Gods Father,121978
MMG,Priorities 5,121778
Fetty Wap,Two Face: Fetty Wap Or Zovier 2 (The Mixtape) [Hosted By @OfficialYoungRB],121711
Yo Gotti & Zedzilla,Cocaine Muzik 4: Gangsta Grillz,121636
Lloyd Banks,V.5,121630
Shyne,Gangland,121554
Mike Posner,The Layover,121535
Diggy Simmons,Airborne,121355
Chris Webby,The Checkup,121142
Young Jeezy & CTE,#ItsThaWorld,120863
50 Cent,Guess Who's Back?,120802
Lil Boosie,Lil Boosie Bad Azz AKA Hollywood Hatchet,120637
Game,Hoodmorning (No Typo): Candy Coronas,120493
Fred The Godson,Contraband,120205
Vado,Slime Flu 5,120131
Wiz Khalifa,Reefer Party,119929
Various Artists,Hip Hop TXL Vol 4,119825
Fred The Godson,Gordo Frederico,119646
Lil Wayne And Young Money,YMCMB: The Mixtape,119579
Young Buck,10 Bodies,119255
Hustle Gang,Hustle Gang Over Errrrythang,119254
Joe Budden,Mood Muzik 3,119203
Caskey,The Transient Classics,119144
Stalley,Honest Cowboy,118971
Various Artists,Hip Hop TXL Vol 55,118714
Drake & The Weeknd,OVOXO,118688
Various Artists,Hip Hop TXL Vol 56,118020
Ransom,The Alternative,117858
Yo Gotti,Cocaine Muzik 4.5 (Da Documentary),117827
Kid Cudi,Rap Hard (Demo),117537
Waka Flocka,DuFlocka Rant: 10 Toes Down,117453
DRAKE,The Best Of Drake - 50 Tracks !,117301
Maino & Uncle Murda,Yellow Tape (King Kong & Godzilla),116791
Young Dolph,High Class Street Music 5 (The Plug Best Friend),116777
Meek Mill,Flamers 2.5: The Preview,116774
Nipsey Hussle,Famous Lies And Unpopular Truths,116594
Chance The Rapper & Jeremih,Merry Christmas Lil Mama,116462
French Montana,Coke Boys Tour Mixtape,116180
Young Buck,10 Pints,116010
Cyhi Da Prynce,Royal Flush 2,115982
Machine Gun Kelly,Rage Pack,115840
Childish Gambino,EP,115839
Isaiah Rashad,Welcome To The Game Hosted By @mosthated81 & Multi,115690
Travis Porter,Music Money Magnums,115141
Nipsey Hussle X Bino Rideaux,No Pressure,114924
Don Trip,Randy Savage,114442
Yo Gotti,Cocaine Muzik 3,114282
