artist,title,downloads,link,scrape_time
Rick Ross,Black Dollar,549168,/Rick-Ross-Black-Dollar-mixtape.732049.html,15-09-18
Mac Miller,The High Life,545292,/Mac-Miller-The-High-Life-mixtape.84610.html,15-09-18
Ace Hood,Starvation,539625,/Ace-Hood-Starvation-mixtape.320847.html,15-09-18
Chris Brown ,Before The Party,538947,/Chris-Brown-Before-The-Party-mixtape.749638.html,15-09-18
Migos,Y.R.N. (Young Rich Niggas),536251,/Migos-YRN-Young-Rich-Niggas-mixtape.498752.html,15-09-18
Wiz Khalifa,Cabin Fever 3,533956,/Wiz-Khalifa-Cabin-Fever-3-mixtape.751890.html,15-09-18
Tyga,Well Done 4,524881,/Tyga-Well-Done-4-mixtape.555029.html,15-09-18
Trey Songz,Anticipation 2,513125,/Trey-Songz-Anticipation-2-mixtape.279088.html,15-09-18
Wiz Khalifa,Star Power,510745,/Wiz-Khalifa-Star-Power-mixtape.62200.html,15-09-18
Los,Becoming King,506913,/Los-Becoming-King-mixtape.410791.html,15-09-18
Mac Miller,Faces,499073,/Mac-Miller-Faces-mixtape.610770.html,15-09-18
Kevin Gates,The Luca Brasi Story,497267,/Kevin-Gates-The-Luca-Brasi-Story-mixtape.450051.html,15-09-18
Lil Wayne,The Dedication,496626,/Lil-Wayne-The-Dedication-mixtape.51.html,15-09-18
Lil Wayne,Da Drought 3 - Disc 2,495630,/Lil-Wayne-Da-Drought-3-Disc-2-mixtape.4314.html,15-09-18
Kevin Gates,Murder For Hire,491531,/Kevin-Gates-Murder-For-Hire-mixtape.711886.html,15-09-18
Boosie Bad Azz,Life After Deathrow,491112,/Boosie-Bad-Azz-Life-After-Deathrow-mixtape.660415.html,15-09-18
Yo Gotti,Concealed,490749,/Yo-Gotti-Concealed-mixtape.680602.html,15-09-18
Kevin Gates,Stranger Than Fiction,484954,/Kevin-Gates-Stranger-Than-Fiction-mixtape.515984.html,15-09-18
Tyga,Black Thoughts 2,484716,/Tyga-Black-Thoughts-2-mixtape.218500.html,15-09-18
Young Jeezy,Trap Or Die 2,481973,/Young-Jeezy-Trap-Or-Die-2-mixtape.117512.html,15-09-18
Vado,Slime Flu 4,474492,/Vado-Slime-Flu-4-mixtape.517960.html,15-09-18
Wale,The Eleven One Eleven Theory ,473749,/Wale-The-Eleven-One-Eleven-Theory-mixtape.262805.html,15-09-18
Curren$y,Verde Terrace,472512,/Curreny-Verde-Terrace-mixtape.262815.html,15-09-18
Lil Uzi Vert,Lil Uzi Vs The World,468601,/Lil-Uzi-Vert-Lil-Uzi-Vs-The-World-mixtape.778460.html,15-09-18
Fabolous,There Is No Competition 2: The Funeral Service ,462857,/Fabolous-There-Is-No-Competition-2-The-Funeral-Service-mixtape.103255.html,15-09-18
French Montana,Wave Gods,457487,/French-Montana-Wave-Gods-mixtape.767788.html,15-09-18
Lil Wayne,D6: Reloaded,455115,/Lil-Wayne-D6-Reloaded-mixtape.877942.html,15-09-18
Kid Ink,Rocketshipshawty,454635,/Kid-Ink-Rocketshipshawty-mixtape.418446.html,15-09-18
Jeremih,Late Nights With Jeremih,447325,/Jeremih-Late-Nights-With-Jeremih-mixtape.379278.html,15-09-18
Nipsey Hussle,Mailbox Money,445562,/Nipsey-Hussle-Mailbox-Money-mixtape.675450.html,15-09-18
Tory Lanez,The New Toronto,442151,/Tory-Lanez-The-New-Toronto-mixtape.755403.html,15-09-18
Trey Songz,To Whom It May Concern,441541,/Trey-Songz-To-Whom-It-May-Concern-mixtape.749949.html,15-09-18
Ace Hood,Body Bag Vol 2,440725,/Ace-Hood-Body-Bag-Vol-2-mixtape.377399.html,15-09-18
Kevin Gates,In The Meantime,437432,/Kevin-Gates-In-The-Meantime-mixtape.402868.html,15-09-18
Post Malone,August 26th,436441,/Post-Malone-August-26th-mixtape.783234.html,15-09-18
Ty Dolla Sign (Ty$),Sign Language ,433145,/Ty-Dolla-Sign-Ty-Sign-Language-mixtape.639974.html,15-09-18
Chief Keef,Bang Pt. 2,430867,/Chief-Keef-Bang-Pt-2-mixtape.438612.html,15-09-18
Travi$ Scott,Days Before Rodeo,424880,/Travi-Scott-Days-Before-Rodeo-mixtape.640174.html,15-09-18
